name,link
VIZZARA,https://www.etsy.com/listing/279490132/cake-servers-white-and-navy-blue?click_key=6bbb34ed8e460e32312268bae4a1ff2ac8081dc4%3A279490132&click_sum=fc2decec&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-18
ApolloVikings,https://www.etsy.com/listing/1270214145/pizza-axe-viking-with-box-leather-sheath?click_key=209ccfdcfd92591a56d07c4f5db2edbfed1ed527%3A1270214145&click_sum=a43562f8&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-19&pro=1
ArtsLux,https://www.etsy.com/listing/238628746/frosty-wedding-cake-serving-set-silver?click_key=8180a0b109d7a2e4366daca26602a973465c6571%3A238628746&click_sum=ad6ebeee&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-20&sts=1
Wedding3000A,https://www.etsy.com/listing/568640073/gold-blue-wedding-cake-server-set-blue?click_key=7ec90c7e94f0c47aeaf24360cf5dbf2a9381a190%3A568640073&click_sum=f2d75e76&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-21
WeddingChicArt,https://www.etsy.com/listing/565370857/wedding-knife-server-set-engraved?click_key=02f3177ac34ce2e2ead04b290aaec91e32dbd740%3A565370857&click_sum=d090d424&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-22
Adeleart,https://www.etsy.com/listing/258993855/green-rginestones-pesronalized-champagne?click_key=28c167b2c7adc9d13db8ade97682fe9c4702d87e%3A258993855&click_sum=bd8088a4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-23
RusticWeddingArtShop,https://www.etsy.com/listing/525449442/cake-servers-rustic-weddings?click_key=7f816da05dcd0dc07d435950f6ee102e5499292d%3A525449442&click_sum=ab0d97a8&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-24
AreoDesigns,https://www.etsy.com/listing/1236755248/engraved-cake-serving?click_key=4ae06b97725cdc104e96886e8ffbb237fbe4eb12%3A1236755248&click_sum=d2f579b9&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-9&sts=1
VIZZARA,https://www.etsy.com/listing/632275808/cake-servers-purple-and-orange-weddings?click_key=29e5d190c18194d479013dc0daaa440f0619affb%3A632275808&click_sum=a85e28ae&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-10
DevarimYafimo,https://www.etsy.com/listing/690131451/pie-server-kitchen-utensils-cake-cutter?click_key=88ac775ac1d14263db9909d70e768f61d2cb2d5d%3A690131451&click_sum=68e298f2&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-11&sts=1
FussyCutsPapery,https://www.etsy.com/listing/1129663671/customized-knife-and-cake-slicer-set?click_key=6bea092ed801f9291e102ac36bcd7e95245bb1b7%3A1129663671&click_sum=4e66c7f4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-12
WeddingHandMadeShop,https://www.etsy.com/listing/538613006/tall-cake-stand-8-up-to-24-inches-wood?click_key=67496bc896327efc60a486d9036ec18c8cf0d9cf%3A538613006&click_sum=294113b2&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-25
Swiddlesinc,https://www.etsy.com/listing/287983719/rainbow-beaded-wedding-cake-knife-server?click_key=0dadc200c23f0d6f594aa8887b8ec6258820d058%3A287983719&click_sum=38e9da29&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-26&sts=1
pastinshs,https://www.etsy.com/listing/95949211/hand-painted-wedding-cake-knives-rabbit?click_key=1adce399762688b348c797e5152ebd475ea174f0%3A95949211&click_sum=0baa7900&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-27
ChiKaPea,https://www.etsy.com/listing/255111283/toasting-glasses-and-cake-cutting-set?click_key=f7f7580310904ee516456413fa8d3733d1e27ad1%3A255111283&click_sum=c62efb77&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-28
IvoryPearlsCraft,https://www.etsy.com/listing/1105018911/gold-wedding-cake-server-set-gold?click_key=048f1d3c6c0cdbf6b7b1e29ceb1aa75a4f3ce395%3A1105018911&click_sum=510a7934&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-29&pro=1
WoodenWeddingDecor,https://www.etsy.com/listing/535057543/cake-topper-for-wedding-custom-mr-mrs?click_key=f778ed22e14f039b0f262330b4ead307869c268b%3A535057543&click_sum=7f41c282&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-30&pro=1
MomentsbyMelodie,https://www.etsy.com/listing/1009512154/personalized-simple-elegance-smooth?click_key=a1ea37fe890a27c9be58c991e8f5b2172a906a57%3A1009512154&click_sum=267fbcf5&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-31&sts=1
AreoDesigns,https://www.etsy.com/listing/1264498053/engraved-cake-server-wooden-spatula-pie?click_key=3c61ee1bb999da4864f1b07d6a37a605d34314e8%3A1264498053&click_sum=db19620b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-32&sts=1
60degreesNorth,https://www.etsy.com/listing/716821811/antique-silverplate-pie-or-cake-server?click_key=c5bba3c30851c0bd9ef733ed1490069b6875b638%3A716821811&click_sum=223fd82a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-33
GibbDaan,https://www.etsy.com/listing/1342503805/personalized-wedding-cake-knife-and?click_key=4300ebacf0ee0b868fa1e3e39b216bc0705bccc9%3A1342503805&click_sum=d6194200&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-34&sts=1
HeavSoShop20,https://www.etsy.com/listing/1228486031/white-wedding-glasses-and-cake-set?click_key=2d0c590541cb74aecc9ffbd0d41e79631e9c2c54%3A1228486031&click_sum=a3b64524&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-35&pro=1&sts=1
onlinepartycenter,https://www.etsy.com/listing/541230029/beauty-and-the-beast-cake-knife-and?click_key=f31820a7a2dd999810b5b835238b284ec7fe7fd7%3A541230029&click_sum=c1ebf999&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-36&sca=1&sts=1
OpenHausGifts,https://www.etsy.com/listing/1091753300/personalized-cake-knives-lenox-cake?click_key=020b786441385708960a5e8669aa625adc2d956f%3A1091753300&click_sum=75523bdb&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-13
ClassyweddingGifts,https://www.etsy.com/listing/1226649469/personalised-wedding-cake-cutter-set?click_key=6755637d96fec034515acd5a9902771ac01d4b71%3A1226649469&click_sum=8b10353a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-14&frs=1
WAGbohemianChic,https://www.etsy.com/listing/1337858983/wedding-champagne-flutes-and-cake-knife?click_key=b78473d0adc0d01227651e4bab04b454d27e0547%3A1337858983&click_sum=edc3bba8&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-15&pro=1&sts=1
WAGbohemianChic,https://www.etsy.com/listing/1283044686/wedding-champagne-flutes-and-cake-knife?click_key=381be4cdd483353ae0b88afe91242808e7a91b68%3A1283044686&click_sum=f62c5d56&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-16&pro=1&sts=1
WeddingBay,https://www.etsy.com/listing/696097638/black-and-white-wedding-set-wedding?click_key=499230a50bddaf195acb035cfbb5c9896e502bd9%3A696097638&click_sum=2985b2c3&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-37&sts=1
FairyFloWorkshop,https://www.etsy.com/listing/1327890614/blush-champagne-wedding-glasses-powder?click_key=c59ff1e68a172d56fb49e32da06763ea9883a9b9%3A1327890614&click_sum=6554785d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-38&frs=1
Jasonlebrocanteur,https://www.etsy.com/listing/1190333719/collectable-vintage-french-silver-plated?click_key=a3afef6892e5de98b9e547a57d0c368da4f12d0b%3A1190333719&click_sum=ad6954e3&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-39&frs=1&sts=1
MaisonettedeMadness,https://www.etsy.com/listing/972386563/s-kirk-son-sterling-silver-handle-cake?click_key=031f9abb0019fa45b4df65f72fc6059f313f1d51%3A972386563&click_sum=c675fc90&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-40&sts=1
AletaVintageFinds,https://www.etsy.com/listing/838869191/merry-christmas-holiday-serving-spatula?click_key=ad1b8ad45dd1eb36e2f7b805eab495132861d59c%3A838869191&click_sum=4db5d005&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-41&sts=1
ReVintageLannie,https://www.etsy.com/listing/1098946217/lacey-cut-milk-glass-cake-plate-wedding?click_key=bd7bafac8fae08a3702727d2e7ccbf7c9d6fd506%3A1098946217&click_sum=9799850e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-42&pro=1
Pinnery,https://www.etsy.com/listing/470762218/6-16-inches-wooden-cake-standrustic-cake?click_key=764eded9b02f58cc7a9a7ccb98194bbd8c2df485%3A470762218&click_sum=51c5f5c2&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-43&sts=1
TheMomentWedding,https://www.etsy.com/listing/224891860/wedding-cake-server-wedding-cake-and?click_key=77326f60c285cfe3bba8f8cd93aa4609b8fd7f17%3A224891860&click_sum=7ffe6e9e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-44
ShopMuirwood,https://www.etsy.com/listing/1014365354/black-gold-cake-knife-set-cake-serving?click_key=49caea549300a131164d82166ca0ee95bd3ac2ac%3A1014365354&click_sum=dd0ce3e7&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-45&etp=1
LuciusWares,https://www.etsy.com/listing/1263379943/bombay-cake-server-rosette-pattern?click_key=30d9ba9ebedad20a1c8489ff8eabcea71669dfb8%3A1263379943&click_sum=6ed3d302&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-46
ThoseDays,https://www.etsy.com/listing/739277943/rustic-winter-wedding-cake-server-set?click_key=5240463276723903f91a2f17513818876818b6a1%3A739277943&click_sum=2286f3df&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-47&sts=1
ThePartyGalBoutique,https://www.etsy.com/listing/1027703213/silver-cake-serving-set-bridal-shower?click_key=6da045c44b34d2bd70bd0e910fec7c2baf802eb2%3A1027703213&click_sum=cff2698c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-48
Gift2Jewelry,https://www.etsy.com/listing/986865291/ciel-collectables-jeweled-cake-server?click_key=4c62d4b771259d44b0a19fce5defc624bf240eaa%3A986865291&click_sum=0eb467fe&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-1
WoodRetro,https://www.etsy.com/listing/1184135645/wedding-cake-stand-cake-stand-rustic?click_key=733d5871ea500087e8f32da705d8e2863d4e7804%3A1184135645&click_sum=0dc87a3a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-2&pro=1&frs=1
WAGbohemianChic,https://www.etsy.com/listing/1337858983/wedding-champagne-flutes-and-cake-knife?click_key=2497b2a6bff797d4b70b6dfd27bf8450fca241e7%3A1337858983&click_sum=edddbdfc&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-3&pro=1&sts=1
WeddingArtGallery,https://www.etsy.com/listing/1328937506/gold-wedding-glasses-and-cake-server-set?click_key=318c09f955e85037615821ec07e6bfdc2d7a316e%3A1328937506&click_sum=178f7a97&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-4&pro=1&sts=1
AllAboutBlades,https://www.etsy.com/listing/1321647016/custom-pizza-cutter-axe-with-leather?click_key=121c87343cef77c62be4075db5e286f2e1bfdb70%3A1321647016&click_sum=72205a0c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-1&cns=1
TopNotchScandinavia,https://www.etsy.com/listing/817466104/romantic-vintage-cake-cutting-set?click_key=9294b444aa8962c2eae2d960229890218fd13287%3A817466104&click_sum=949d3f25&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-2&frs=1&sts=1
KateCharltonCeramics,https://www.etsy.com/listing/1262888489/personalised-wedding-gift-cake-slice?click_key=c4f67ff00f0ba3da2a701833b8f88be431bb46be%3A1262888489&click_sum=288b44be&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-3
ClassyweddingGifts,https://www.etsy.com/listing/1226649469/personalised-wedding-cake-cutter-set?click_key=48c9cdb03eee898487e568bf5456d6963dc248d3%3A1226649469&click_sum=bc8bc0a6&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-4&frs=1
YolisBridal,https://www.etsy.com/listing/507132511/swarovski-crystal-wedding-toast-set?click_key=a5ea4588d52e249b39581f6f756e6fcfbd404384%3A507132511&click_sum=7cc72a76&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-5&pro=1
InesesWeddingGallery,https://www.etsy.com/listing/260883108/rustic-wedding-cake-server-and-knife?click_key=98897d44ba840b66b9b9821f620176974d988641%3A260883108&click_sum=11654fe3&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-6
CharmWoodShop,https://www.etsy.com/listing/533845267/wedding-cake-server-wedding-knife-set?click_key=21889051bd9da7a938062340d280b6ff3731b015%3A533845267&click_sum=18d0234a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-7&pro=1
WeddingArtGallery,https://www.etsy.com/listing/281387960/personalized-wedding-cake-server-set?click_key=af6ddc486a4e3a5ec9718e076f9b11cc9cf7142f%3A281387960&click_sum=05b9bacd&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-8&pro=1&sts=1
WAGbohemianChic,https://www.etsy.com/listing/1229481887/wedding-champagne-flutes-and-cake-knife?click_key=a18a9a838b0f0daf373396bc6e2a6d27373a2716%3A1229481887&click_sum=863a47c0&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-9&pro=1&sts=1
BridalQueen,https://www.etsy.com/listing/520966264/white-wedding-cake-cutting-set-cake?click_key=46cddd21e2f71e3a386eda05db9c9cbfd9fbeefa%3A520966264&click_sum=1a995d38&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-10
PaintedGlassBiliana,https://www.etsy.com/listing/268511894/wedding-cake-server-and-knife-autumn?click_key=444194787dd6a9808ae7f7bb7f0f128ba3a665de%3A268511894&click_sum=49e53175&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-11&frs=1
ArtsLux,https://www.etsy.com/listing/263027145/ivorydeep-red-wedding-cake-knife-set?click_key=ff158addb35857abba9471c23aa5b609e593bd6f%3A263027145&click_sum=7701bd22&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-12&sts=1
HeavSoShop20,https://www.etsy.com/listing/1329829399/wedding-gift-toasting-glasses-and-cake?click_key=35b39142d12624d2690028c229a8c8544a707e3f%3A1329829399&click_sum=b1cfc8b7&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-5&pro=1&sts=1
IvoryPearlsCraft,https://www.etsy.com/listing/1002815387/white-wedding-cake-server-set-wedding?click_key=835f9f13709b8c40fbec7ce120ed0f1060d8648a%3A1002815387&click_sum=0672d145&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-6&pro=1
EOJStudios,https://www.etsy.com/listing/1320512597/custom-wedding-cake-fork-set-matching?click_key=7c0b118047a58ab56b2e549d683820cdf785c9eb%3A1320512597&click_sum=90527487&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-7
WeddingChicArt,https://www.etsy.com/listing/608615164/wedding-glasses-black-tie-wedding?click_key=9e5d95f25bb77f46bf5baa9064f5c451f440451b%3A608615164&click_sum=805a51f6&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-8
ArtWeddingGroup,https://www.etsy.com/listing/500732720/wedding-cake-cutting-set-personalized?click_key=bf5af666763c2d16000c9cd5e60e12136f3425fa%3A500732720&click_sum=03eab754&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-13
Wedding3000A,https://www.etsy.com/listing/557624562/engraving-gold-wedding-set-champagne?click_key=f11b9488671848fa520dd68b95f464a5567c8452%3A557624562&click_sum=f2e71f27&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-14
VIZZARA,https://www.etsy.com/listing/263726489/cake-servers-white-and-ivory-weddings?click_key=95cd4dd7702776a62220b278ad3b71f31ada15a6%3A263726489&click_sum=418e1137&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-15
pastinshs,https://www.etsy.com/listing/108254481/hand-painted-wedding-cake-knives-green?click_key=ef078f9a1069d9ae497da0d971a28280a0e366cb%3A108254481&click_sum=9cb1ffeb&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-16
ChiKaPea,https://www.etsy.com/listing/207524458/wedding-cake-serving-set-shabby-chic?click_key=2197da41d26740c1519fdd9c5ac94b403c5deee5%3A207524458&click_sum=4b366985&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-17
WoodenWeddingDecor,https://www.etsy.com/listing/504517296/mr-mrs-wedding-cake-topper-deer-cake?click_key=9d5ba90313fa5d436a3fd9e18e75e9428e092da9%3A504517296&click_sum=7af60267&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-18&pro=1
GibbDaan,https://www.etsy.com/listing/1342500833/personalized-wedding-cake-knife-and?click_key=1f48932b72d5d3e7284f23af83e6686aa66aa542%3A1342500833&click_sum=747e4f44&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-3-19&sts=1
